date,symbol,rate
2023-01-31,MYR,4.6211
2023-01-31,NOK,10.9083
2023-01-31,NZD,1.6858
2023-01-31,PHP,59.192
2023-01-31,PLN,4.709
2023-01-31,RON,4.921
2023-01-31,SEK,11.348
2023-01-31,SGD,1.4268
2023-01-31,THB,35.787
2023-01-31,TRY,20.379
2023-01-31,USD,1.0833
2023-01-31,ZAR,18.9223
2023-02-01,AUD,1.5392
2023-02-01,BGN,1.9558
2023-02-01,BRL,5.5174
2023-02-01,CAD,1.4506
2023-02-01,CHF,0.998
2023-02-01,CNY,7.3452
2023-02-01,CZK,23.775
2023-02-01,DKK,7.4396
2023-02-01,GBP,0.88413
2023-02-01,HKD,8.5444
2023-02-01,HUF,390.2
2023-02-01,IDR,16299.0
2023-02-01,ILS,3.769
2023-02-01,INR,89.11
2023-02-01,ISK,153.5
2023-02-01,JPY,141.37
2023-02-01,KRW,1339.22
2023-02-01,MXN,20.492
2023-02-01,MYR,4.6471
2023-02-01,NOK,10.8569
2023-02-01,NZD,1.6903
2023-02-01,PHP,59.318
2023-02-01,PLN,4.7075
2023-02-01,RON,4.9117
2023-02-01,SEK,11.3455
2023-02-01,SGD,1.4303
2023-02-01,THB,35.841
2023-02-01,TRY,20.498
2023-02-01,USD,1.0894
2023-02-01,ZAR,18.8328
2023-02-02,AUD,1.5407
2023-02-02,BGN,1.9558
2023-02-02,BRL,5.4859
2023-02-02,CAD,1.4602
2023-02-02,CHF,0.9992
2023-02-02,CNY,7.3878
2023-02-02,CZK,23.809
2023-02-02,DKK,7.4393
2023-02-02,GBP,0.89289
2023-02-02,HKD,8.6183
2023-02-02,HUF,387.2
2023-02-02,IDR,16361.0
2023-02-02,ILS,3.7577
2023-02-02,INR,90.3
2023-02-02,ISK,153.5
2023-02-02,JPY,141.12
2023-02-02,KRW,1345.9
2023-02-02,MXN,20.405
2023-02-02,MYR,4.6655
2023-02-02,NOK,10.9535
2023-02-02,NZD,1.6855
2023-02-02,PHP,59.17
2023-02-02,PLN,4.7015
2023-02-02,RON,4.9025
2023-02-02,SEK,11.3587
2023-02-02,SGD,1.4352
2023-02-02,THB,36.03
2023-02-02,TRY,20.677
2023-02-02,USD,1.0988
2023-02-02,ZAR,18.7046
2023-02-03,AUD,1.5499
2023-02-03,BGN,1.9558
2023-02-03,BRL,5.5414
2023-02-03,CAD,1.4616
2023-02-03,CHF,0.9989
2023-02-03,CNY,7.3689
2023-02-03,CZK,23.725
2023-02-03,DKK,7.4443
2023-02-03,GBP,0.8925
2023-02-03,HKD,8.5802
2023-02-03,HUF,386.58
2023-02-03,IDR,16313.0
2023-02-03,ILS,3.7207
2023-02-03,INR,89.59
2023-02-03,ISK,153.7
2023-02-03,JPY,140.45
2023-02-03,KRW,1346.17
2023-02-03,MXN,20.462
2023-02-03,MYR,4.657
2023-02-03,NOK,10.9783
2023-02-03,NZD,1.6886
2023-02-03,PHP,58.721
2023-02-03,PLN,4.692
2023-02-03,RON,4.902
2023-02-03,SEK,11.3323
2023-02-03,SGD,1.4331
2023-02-03,THB,36.114
2023-02-03,TRY,20.581
2023-02-03,USD,1.0937
2023-02-03,ZAR,18.7624
2023-02-06,AUD,1.5596
2023-02-06,BGN,1.9558
2023-02-06,BRL,5.5625
2023-02-06,CAD,1.4459
2023-02-06,CHF,0.9964
2023-02-06,CNY,7.309
2023-02-06,CZK,23.843
2023-02-06,DKK,7.4432
2023-02-06,GBP,0.89278
2023-02-06,HKD,8.4539
2023-02-06,HUF,390.83
2023-02-06,IDR,16338.0
2023-02-06,ILS,3.7338
2023-02-06,INR,89.09
2023-02-06,ISK,152.9
2023-02-06,JPY,142.41
2023-02-06,KRW,1353.65
2023-02-06,MXN,20.488
2023-02-06,MYR,4.5884
2023-02-06,NOK,11.0428
2023-02-06,NZD,1.7075
2023-02-06,PHP,58.686
2023-02-06,PLN,4.7228
2023-02-06,RON,4.9055
2023-02-06,SEK,11.3652
2023-02-06,SGD,1.4266
2023-02-06,THB,36.207
2023-02-06,TRY,20.292
2023-02-06,USD,1.0776
2023-02-06,ZAR,18.9013
2023-02-07,AUD,1.547
2023-02-07,BGN,1.9558
2023-02-07,BRL,5.5216
2023-02-07,CAD,1.4371
2023-02-07,CHF,0.9906
2023-02-07,CNY,7.2608
2023-02-07,CZK,23.832
2023-02-07,DKK,7.4415
2023-02-07,GBP,0.89338
2023-02-07,HKD,8.3974
2023-02-07,HUF,394.4
2023-02-07,IDR,16239.0
2023-02-07,ILS,3.7237
2023-02-07,INR,88.51
2023-02-07,ISK,152.1
2023-02-07,JPY,141.3
2023-02-07,KRW,1348.81
2023-02-07,MXN,20.432
2023-02-07,MYR,4.6035
2023-02-07,NOK,11.1253
2023-02-07,NZD,1.6994
2023-02-07,PHP,59.032
2023-02-07,PLN,4.7565
2023-02-07,RON,4.902
2023-02-07,SEK,11.3805
2023-02-07,SGD,1.4199
2023-02-07,THB,35.989
2023-02-07,TRY,20.148
2023-02-07,USD,1.07
2023-02-07,ZAR,18.8746
2023-02-08,AUD,1.5416
2023-02-08,BGN,1.9558
2023-02-08,BRL,5.5644
2023-02-08,CAD,1.4389
2023-02-08,CHF,0.9881
2023-02-08,CNY,7.2841
2023-02-08,CZK,23.782
2023-02-08,DKK,7.4421
2023-02-08,GBP,0.888
2023-02-08,HKD,8.4265
2023-02-08,HUF,388.73
2023-02-08,IDR,16227.0
2023-02-08,ILS,3.7408
2023-02-08,INR,88.59
2023-02-08,ISK,151.5
2023-02-08,JPY,140.81
2023-02-08,KRW,1351.4
2023-02-08,MXN,20.298
2023-02-08,MYR,4.6144
2023-02-08,NOK,11.026
2023-02-08,NZD,1.6971
2023-02-08,PHP,58.817
2023-02-08,PLN,4.7385
2023-02-08,RON,4.8975
2023-02-08,SEK,11.3423
2023-02-08,SGD,1.422
2023-02-08,THB,35.973
2023-02-08,TRY,20.216
2023-02-08,USD,1.0735
2023-02-08,ZAR,18.9129
2023-02-09,AUD,1.5409
2023-02-09,BGN,1.9558
2023-02-09,BRL,5.6165
2023-02-09,CAD,1.4423
2023-02-09,CHF,0.989
2023-02-09,CNY,7.2992
2023-02-09,CZK,23.698
2023-02-09,DKK,7.4419
2023-02-09,GBP,0.88515
2023-02-09,HKD,8.4551
2023-02-09,HUF,385.8
2023-02-09,IDR,16280.0
2023-02-09,ILS,3.7576
2023-02-09,INR,88.89
2023-02-09,ISK,151.1
2023-02-09,JPY,140.8
2023-02-09,KRW,1355.38
2023-02-09,MXN,20.329
2023-02-09,MYR,4.6488
2023-02-09,NOK,10.9123
2023-02-09,NZD,1.6906
2023-02-09,PHP,58.659
2023-02-09,PLN,4.7388
2023-02-09,RON,4.8935
2023-02-09,SEK,11.139
2023-02-09,SGD,1.4237
2023-02-09,THB,36.013
2023-02-09,TRY,20.284
2023-02-09,USD,1.0771
2023-02-09,ZAR,19.0134
2023-02-10,AUD,1.5432
2023-02-10,BGN,1.9558
2023-02-10,BRL,5.6245
2023-02-10,CAD,1.4364
2023-02-10,CHF,0.9872
2023-02-10,CNY,7.2837
2023-02-10,CZK,23.692
2023-02-10,DKK,7.4445
2023-02-10,GBP,0.88348
2023-02-10,HKD,8.3916
2023-02-10,HUF,389.78
2023-02-10,IDR,16233.0
2023-02-10,ILS,3.782
2023-02-10,INR,88.25
2023-02-10,ISK,152.1
2023-02-10,JPY,139.88
2023-02-10,KRW,1354.1
2023-02-10,MXN,20.054
2023-02-10,MYR,4.6314
2023-02-10,NOK,10.871
2023-02-10,NZD,1.6904
2023-02-10,PHP,58.207
2023-02-10,PLN,4.781
2023-02-10,RON,4.902
2023-02-10,SEK,11.163
2023-02-10,SGD,1.4199
2023-02-10,THB,36.057
2023-02-10,TRY,20.136
2023-02-10,USD,1.069
